Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes
2014-01-15 00:52:04;2014-01-15 08:22:22;84%;7:30;:|;

2014-01-17 01:45:30;2014-01-17 08:41:37;70%;6:56;:|;Ate late:Drank coffee:Stressful day

2014-01-18 00:10:30;2014-01-18 00:33:36;4%;0:23;:|;Ate late:Drank coffee:Stressful day

2014-01-18 00:33:55;2014-01-18 09:32:14;100%;8:58;:|;

2014-01-20 00:54:21;2014-01-20 08:22:35;77%;7:28;:|;

2014-01-21 01:00:43;2014-01-21 07:30:28;62%;6:29;:(;

2014-01-22 00:48:38;2014-01-22 08:14:58;86%;7:26;:|;Ate late:Drank coffee:Stressful day

2014-01-23 01:23:21;2014-01-23 08:04:10;73%;6:40;:);

2014-01-25 00:54:21;2014-01-25 08:39:18;87%;7:44;:);Ate late:Drank coffee:Stressful day:Worked out

2014-01-26 01:50:54;2014-01-26 09:06:14;76%;7:15;:);Ate late:Stressful day

2014-01-27 00:25:13;2014-01-27 08:25:49;89%;8:00;:);Ate late:Drank coffee:Stressful day:Worked out

2014-01-28 00:46:14;2014-01-28 08:09:45;72%;7:23;:(;

2014-01-29 01:25:01;2014-01-29 07:59:19;66%;6:34;:|;

2014-01-30 01:59:16;2014-01-30 08:27:33;73%;6:28;:|;

2014-01-31 01:44:42;2014-01-31 08:04:51;66%;6:20;:|;

2014-02-02 22:51:27;2014-02-03 06:35:06;63%;7:43;:|;

2014-02-04 00:03:42;2014-02-04 07:29:14;68%;7:25;:|;Ate late:Stressful day

2014-02-04 22:12:43;2014-02-05 07:08:52;90%;8:56;:(;

2014-02-06 00:42:11;2014-02-06 07:25:23;67%;6:43;:|;

2014-02-09 23:21:50;2014-02-10 07:00:18;86%;7:38;:|;Ate late:Drank coffee:Worked out

2014-02-12 00:03:22;2014-02-12 04:49:24;54%;4:46;:(;Ate late:Drank coffee:Drank tea:Stressful day

2014-02-13 00:08:53;2014-02-13 07:08:01;48%;6:59;:(;Ate late:Drank coffee:Stressful day:Worked out

2014-02-16 01:40:53;2014-02-16 10:31:00;98%;8:50;:|;Ate late:Stressful day

2014-02-18 00:58:01;2014-02-18 07:27:34;59%;6:29;:);Ate late:Drank coffee:Stressful day:Worked out

2014-02-19 00:40:07;2014-02-19 07:36:53;74%;6:56;:|;Ate late:Drank coffee:Drank tea:Worked out

2014-02-19 21:50:00;2014-02-20 07:43:18;96%;9:53;:);Ate late:Drank coffee:Drank tea

2014-02-21 00:12:31;2014-02-21 07:47:25;83%;7:34;:);Ate late:Drank coffee:Drank tea:Stressful day:Worked out

2014-02-24 22:50:17;2014-02-25 07:19:18;87%;8:29;:|;Ate late:Drank coffee:Worked out

2014-02-26 01:30:38;2014-02-26 07:48:04;64%;6:17;:|;Ate late:Drank coffee:Worked out

2014-03-03 01:08:54;2014-03-03 07:39:37;70%;6:30;:);Ate late:Worked out

2014-03-05 23:21:18;2014-03-06 07:50:34;90%;8:29;:|;Ate late:Drank coffee:Stressful day:Worked out

2014-03-10 00:53:43;2014-03-10 07:32:48;68%;6:39;:(;Ate late:Drank coffee:Worked out

2014-03-23 22:36:52;2014-03-24 08:28:06;77%;9:51;:|;Ate late:Worked out

2014-03-26 01:43:54;2014-03-26 08:06:53;68%;6:22;:|;Ate late:Drank coffee:Drank tea:Stressful day:Worked out

